Entry frame,Birth frame,Birth ID,Split frame,Split ID,End of Movie,Leftframe,Questionable,Notes,Birthtimeh,Lifetimeh,EOM,dies
,334,A,466,C,,,,,33.4,13.2,N,
,334,B,469,A,,,,,33.4,13.5,N,
,334,B,471,C,,,,,33.4,13.7,N,
,335,A,460,A,,,,,33.5,12.5,N,
,335,B,461,D,,,,,33.5,12.6,N,
,335,B,490,A,,,,,33.5,15.5,N,
,336,A,471,B,,,,,33.6,13.5,N,
,336,A,475,B,,,,,33.6,13.9,N,
,337,A,466,B,,,,,33.7,12.9,N,
,337,A,473,B,,,,,33.7,13.6,N,
,338,B,458,B,,,,,33.8,12,N,
,338,B,465,D,,,,,33.8,12.7,N,
,338,C,468,B,,,,,33.8,13,N,
,338,C,475,B,,,,,33.8,13.7,N,
,338,A,481,C,,,,,33.8,14.3,N,
,338,A,485,A,,,,,33.8,14.7,N,
,339,A,478,B,,,,,33.9,13.9,N,
,339,A,480,C,,,,,33.9,14.1,N,
,340,A,480,B,,,,,34,14,N,
,340,A,492,A,,,,,34,15.2,N,
,341,C,444,A,,,,,34.1,10.3,N,
,341,C,446,F,,,,,34.1,10.5,N,
,341,A,468,A,,,,,34.1,12.7,N,
,341,B,470,A,,,,,34.1,12.9,N,
,341,B,471,A,,,,,34.1,13,N,
,341,D,485,A,,,,,34.1,14.4,N,
,341,A,494,A,,,,,34.1,15.3,N,
,341,D,527,A,,,,,34.1,18.6,N,
,342,A,461,C,,,,,34.2,11.9,N,
,342,A,461,B,,,,,34.2,11.9,N,
,344,A,464,B,,,,,34.4,12,N,
,344,C,475,A,,,,,34.4,13.1,N,
,344,B,478,A,,,,,34.4,13.4,N,
,344,B,481,B,,,,,34.4,13.7,N,
,344,A,482,A,,,,,34.4,13.8,N,
,344,C,489,A,,,,,34.4,14.5,N,
,345,B,461,A,,,,,34.5,11.6,N,
,345,A,464,A,,,,,34.5,11.9,N,
,345,A,465,C,,,,,34.5,12,N,
,345,B,474,A,,,,,34.5,12.9,N,
,345,C,554,A,,,,,34.5,20.9,N,
,346,B,477,A,,,,,34.6,13.1,N,
,346,A,480,A,,,,,34.6,13.4,N,
,346,A,481,A,,,,,34.6,13.5,N,
,346,B,501,A,,,,,34.6,15.5,N,
,347,A,510,A,,,,,34.7,16.3,N,
,347,A,515,A,,,,,34.7,16.8,N,
,348,A,473,A,,,,,34.8,12.5,N,
,348,A,493,A,,,,,34.8,14.5,N,
,349,A,456,A,,,,,34.9,10.7,N,
,211,A,862,,Y,,,,21.1,65.1,Y,
,211,A,862,,Y,,,,21.1,65.1,Y,
,311,A,862,,Y,,,,31.1,55.1,Y,
,345,C,862,,Y,,,,34.5,51.7,Y,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,202,A,,,,250,,,20.2,,N,
,206,A,,,,265,,,20.6,,N,
,206,A,,,,278,,,20.6,,N,
,207,B,,,,258,,,20.7,,N,
,207,B,,,,263,,,20.7,,N,
,225,A,,,,326,,,22.5,,N,
,248,C,,,,272,,,24.8,,N,
,248,C,,,,272,,,24.8,,N,
,255,C,,,,357,,,25.5,,N,
,260,A,,,,337,,,26,,N,
,260,A,,,,378,,,26,,N,
,261,A,,,,330,,,26.1,,N,
,267,A,,,,356,,,26.7,,N,
,268,A,,,,288,,,26.8,,N,
,268,A,,,,290,,,26.8,,N,
,269,A,,,,288,,,26.9,,N,
,274,B,,,,299,,,27.4,,N,
,275,B,,,,477,,,27.5,,N,
,275,B,,,,456,,,27.5,,N,
,276,A,347,B,,,,,27.6,,N,
,278,A,,,,293,,,27.8,,N,
,278,A,,,,296,,,27.8,,N,
,279,A,,,,377,,,27.9,,N,
,281,C,,,,290,,,28.1,,N,
,281,C,,,,294,,,28.1,,N,
,282,B,,,,320,,,28.2,,N,
,282,B,,,,330,,,28.2,,N,
,285,A,,,,304,,,28.5,,N,
,285,A,,,,356,,,28.5,,N,
,297,A,,,,404,,,29.7,,N,
,297,C,,,,409,,,29.7,,N,
,298,C,,,,324,,,29.8,,N,
,298,C,,,,332,,,29.8,,N,
,298,D,,,,323,,,29.8,,N,
,302,B,,,,428,,,30.2,,N,
,303,D,,,,355,,,30.3,,N,
,303,E,,,,342,,,30.3,,N,
,303,E,,,,349,,,30.3,,N,
,304,B,,,,329,,,30.4,,N,
,304,B,,,,398,,,30.4,,N,
,306,A,,,,366,,,30.6,,N,
,306,B,,,,330,,,30.6,,N,
,306,B,,,,342,,,30.6,,N,
,308,A,,,,336,,,30.8,,N,
,308,B,,,,,,,30.8,,N,
,308,C,,,,426,,,30.8,,N,
,320,A,,,,447,,,32,,N,
,326,A,,,,422,,,32.6,,N,
,327,C,,,,395,,,32.7,,N,
,329,A,,,,371,,,32.9,,N,
,335,A,,,,364,,,33.5,,N,
,335,C,,,,448,,,33.5,,N,
,335,C,,,,459,,,33.5,,N,
,349,A,,,,406,,,34.9,,N,
