Parent,ID,Generations,Start,Split,Lifespan,Parent,ID,Valid,Left Frame,Generation,C.Start,C.Split,C.Lifespan,,Notes,Rate,progeny.id,progeny.events,population.time,progeny.mle,,,,,,,,
2248,954,2,894,1746,14.2,2248,954,T,0,2,149,291,14.2,,valid,0.048813182,79,NA,NA,NA,,,,,,,,
79,2248,2,162,894,12.2,79,2248,T,0,1,27,149,12.2,,valid,0.056815343,79,NA,NA,NA,,,,,,,,
2248,2249,2,894,1152,4.3,2248,2249,T,1,2,149,192,4.3,,X Invalid; left frame,0.161197019,79,NA,NA,NA,,,,,,,,
954,1614,3,1752,2316,9.4,954,1614,T,0,3,292,476,18.4,,X Invalid; actually splits in fr476; auto randomly relabelled it as '2629'; daughters last thru EOM,0.073739062,79,NA,NA,NA,,,,,,,,
,,,,,,1614,l140,T,0,,476,549,7.3,,,,79,,,,,,,,,,,
,,,,,,1614,r141,T,0,,476,549,7.3,,,,79,,,,,,,,,,,
954,2848,3,1752,2760,16.8,954,2848,T,0,3,292,460,16.8,,valid; daughters last thru EOM,0.041258761,79,NA,NA,NA,,,,,,,,
,,,,,,2848,l143,T,0,,460,549,8.9,,,,79,,,,,,,,,,,
,,,,,,2848,r144,T,0,,460,549,8.9,,,,79,,,,,,,,,,,
1614,878,4,2322,2454,2.2,1614,878,F,0,,387,409,2.2,,X illegitimate,0.3150669,79,NA,NA,NA,,,,,,,,
1614,2629,4,2322,3294,16.2,1614,2629,F,0,,387,549,16.2,,X illegitimate,0.042786863,79,NA,NA,NA,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
0,80,1,18,366,5.8,0,80,T,0,0,3,61,5.8,,,0.119508135,80,4,89,0.04494382,,,,,,,,
80,1223,2,372,1230,14.3,80,1223,T,0,1,62,205,14.3,,valid,0.048471831,80,NA,NA,NA,,,,,,,,
80,2741,2,372,1026,10.9,80,2741,T,0,1,62,203,14.1,,X Invalid; splits in fr203; auto randomly relabelled it as 522; daughters last thru EOM,0.063591484,80,NA,NA,NA,,,,,,,,
,,,,,,2741,l151,T,0,,203,549,34.6,,,,80,,,,,,,,,,,
,,,,,,2741,r152,T,0,,203,549,34.6,,,,80,,,,,,,,,,,
1223,533,3,1236,1872,10.6,1223,533,T,0,2,206,549,34.3,,X Persists until EOM,0.065391243,80,NA,NA,NA,,,,,,,,
2493,1886,3,2700,3294,9.9,2493,1886,F,0,,450,549,9.9,,X illegitimate,0.070014867,80,NA,NA,NA,,,,,,,,
1223,2493,3,1236,2700,24.4,1223,2493,T,0,2,206,549,34.3,,X Persists until EOM,0.028407671,80,NA,NA,NA,,,,,,,,
2493,2494,3,2700,3024,5.4,2493,2494,F,0,,450,504,5.4,,X illegitimate,0.128360589,80,NA,NA,NA,,,,,,,,
533,600,4,1878,2118,4,533,600,F,0,,313,353,4,,X illegitimate,0.173286795,80,NA,NA,NA,,,,,,,,
533,2521,4,1878,2100,3.7,533,2521,F,0,,313,350,3.7,,X illegitimate,0.187337076,80,NA,NA,NA,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
0,126,1,18,120,1.7,0,126,T,0,0,3,20,1.7,,,0.407733636,126,10,161.1,0.062073246,,,,,,,,
126,85,2,126,834,11.8,126,85,T,0,1,21,139,11.8,,valid,0.058741286,126,NA,NA,NA,,,,,,,,
2246,344,2,942,1410,7.8,2246,344,T,0,2,157,295,13.8,,X Invalid; actually split in fr295; missed when relabelled as '722',0.088865023,126,NA,NA,NA,,,,,,,,
,,,,,,344,l163,T,0,,295,484,18.9,,,,126,,,,,,,,,,,
,,,,,,l163,l164,T,0,,484,549,6.5,,,,126,,,,,,,,,,,
,,,,,,l163,r165,T,0,,484,549,6.5,,,,126,,,,,,,,,,,
,,,,,,344,r164,T,0,,295,473,17.8,,,,126,,,,,,,,,,,
,,,,,,r164,l167,T,0,,473,549,7.6,,,,126,,,,,,,,,,,
,,,,,,r164,r168,T,0,,473,549,7.6,,,,126,,,,,,,,,,,
126,2246,2,126,942,13.6,126,2246,T,0,1,21,157,13.6,,valid,0.050966704,126,NA,NA,NA,,,,,,,,
2246,2247,2,942,1422,8,2246,2247,T,0,2,157,296,13.9,,X Invalid; actually split in fr296; blobmerge with '235' and reassigned to '403',0.086643398,126,NA,NA,NA,,,,,,,,
,,,,,,2247,l171,T,0,,296,476,18,,,,126,,,,,,,,,,,
,,,,,,l171,l172,T,0,,476,549,7.3,,,,126,,,,,,,,,,,
,,,,,,l171,r173,T,0,,476,549,7.3,,,,126,,,,,,,,,,,
,,,,,,2247,r172,T,0,,296,470,17.4,,,,126,,,,,,,,,,,
,,,,,,r172,l175,T,0,,470,549,7.9,,,,126,,,,,,,,,,,
,,,,,,r172,r176,T,0,,470,549,7.9,,,,126,,,,,,,,,,,
85,166,3,840,1182,5.7,85,166,T,0,2,140,288,14.8,,X Actually split in fr288; lost when randomly reassigned to '1234',0.121604769,126,NA,NA,NA,,,,,,,,
,,,,,,166,l114,T,0,,288,452,16.4,,daughters last thru EOM,,126,,,,,,,,,,,
