Entry frame,Birth frame,Birth ID,Split frame,Split ID,End of Movie,Leftframe,Questionable,Notes,Birthtimeh,Lifetimeh,EOM,dies
,282,B,419,B,,,,,28.2,13.7,N,
,282,C,427,A,,,,,28.2,14.5,N,
,282,A,435,A,,,,,28.2,15.3,N,
,282,B,481,A,,,,,28.2,19.9,N,
,282,A,488,A,,,,,28.2,20.6,N,
,283,C,418,C,,,,,28.3,13.5,N,
,283,C,423,C,,,,,28.3,14,N,
,283,D,440,C,,,,,28.3,15.7,N,
,283,A,445,A,,,,,28.3,16.2,N,
,283,B,445,B,,,,,28.3,16.2,N,
,283,A,454,A,,,,,28.3,17.1,N,
,283,B,471,A,,,,,28.3,18.8,N,
,285,A,424,C,,,,,28.5,13.9,N,
,285,A,440,D,,,,,28.5,15.5,N,
,286,A,589,A,,,,,28.6,30.3,N,
,286,A,595,A,,,,,28.6,30.9,N,
,287,A,428,A,,,,,28.7,14.1,N,
,287,A,445,C,,,,,28.7,15.8,N,
,288,D,409,B,,,,,28.8,12.1,N,
,288,D,412,B,,,,,28.8,12.4,N,
,288,B,424,D,,,,,28.8,13.6,N,
,288,B,429,A,,,,,28.8,14.1,N,
,288,A,433,A,,,,,28.8,14.5,N,
,288,A,442,B,,,,,28.8,15.4,N,
,288,C,570,A,,,,,28.8,28.2,N,
,288,C,734,A,,,,,28.8,44.6,N,
,290,B,415,D,,,,,29,12.5,N,
,290,B,418,D,,,,,29,12.8,N,
,290,A,536,A,,,,,29,24.6,N,
,290,C,547,A,,,,,29,25.7,N,
,290,C,587,A,,,,,29,29.7,N,
,290,A,673,A,,,,,29,38.3,N,
,291,A,397,E,,,,,29.1,10.6,N,
,291,A,423,B,,,,,29.1,13.2,N,
,291,C,423,B,,,,,29.1,13.2,N,
,291,C,465,B,,,,,29.1,17.4,N,
,291,B,466,A,,,,,29.1,17.5,N,
,291,B,499,A,,,,,29.1,20.8,N,
,293,A,439,A,,,,,29.3,14.6,N,
,293,A,456,A,,,,,29.3,16.3,N,
,294,B,422,A,,,,,29.4,12.8,N,
,294,A,426,A,,,,,29.4,13.2,N,
,294,A,428,B,,,,,29.4,13.4,N,
,294,B,454,B,,,,,29.4,16,N,
,294,C,724,A,,,,,29.4,43,N,
,295,B,422,B,,,,,29.5,12.7,N,
